id,hr_records,days_with_hr,first_hr,last_hr
2022484408,153974,31,2016-04-12,2016-05-12
4558609924,191729,31,2016-04-12,2016-05-12
5553957443,252832,31,2016-04-12,2016-05-12
6962181067,265081,31,2016-04-12,2016-05-12
8877689391,228681,31,2016-04-12,2016-05-12
4388161847,248139,30,2016-04-13,2016-05-12
5577150313,247806,28,2016-04-12,2016-05-11
7007744171,133361,24,2016-04-12,2016-05-06
6117666160,158429,23,2016-04-15,2016-05-09
2347167796,151752,18,2016-04-12,2016-04-29
6775888955,32757,18,2016-04-13,2016-05-07
8792009665,122270,18,2016-04-12,2016-05-04
4020332650,285023,16,2016-04-12,2016-05-12
2026352035,2490,4,2016-04-17,2016-05-09
