id,days_tracked,first_day,last_day,date_range_days,engagement_level
1503960366,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
1624580081,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
1844505072,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
1927972279,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
2022484408,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
2026352035,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
2320127002,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
2873212765,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
4020332650,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
4319703577,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
4388161847,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
4445114986,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
4558609924,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
4702921684,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
5553957443,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
6962181067,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
7086361926,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
8053475328,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
8378563200,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
8583815059,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
8877689391,31,2016-04-12,2016-05-12,31,Everyday User (25-31 days)
1644430081,30,2016-04-12,2016-05-11,30,Everyday User (25-31 days)
3977333714,30,2016-04-12,2016-05-11,30,Everyday User (25-31 days)
5577150313,30,2016-04-12,2016-05-11,30,Everyday User (25-31 days)
6290855005,29,2016-04-12,2016-05-10,29,Everyday User (25-31 days)
8792009665,29,2016-04-12,2016-05-10,29,Everyday User (25-31 days)
6117666160,28,2016-04-12,2016-05-09,28,Everyday User (25-31 days)
6775888955,26,2016-04-12,2016-05-07,26,Everyday User (25-31 days)
7007744171,26,2016-04-12,2016-05-07,26,Everyday User (25-31 days)
3372868164,20,2016-04-12,2016-05-01,20,Moderate User (11-20 days)
8253242879,19,2016-04-12,2016-04-30,19,Moderate User (11-20 days)
2347167796,18,2016-04-12,2016-04-29,18,Moderate User (11-20 days)
4057192912,4,2016-04-12,2016-04-15,4,Light User (1-10 days)
